,时间,公司名,轮次,金额,投资机构
0,2005-08-08,网易,B轮,875万美元,未透露
1,2005-08-05,百度,IPO上市,数亿美元,未透露
2,2005-08-04,爱尔创,天使轮,数百万人民币,博将资本
3,2005-08-04,盛科网络,天使轮,数百万人民币,中新创投
4,2005-08-01,合力模具,A轮,未透露,未透露
5,2005-08-01,阿里巴巴集团,D轮,10亿美元,雅虎
6,2005-08-01,易查搜索,A轮,数百万美元,KPCB凯鹏华盈中国
7,2005-08-01,上海新浩艺软件Hintsoft,A轮,数百万美元,IDG资本
8,2005-07-20,兆易创新,天使轮,数百万美元,IPV-Capital/盈富泰克-启迪之星（启迪孵化器）
9,2005-07-03,天涯社区,A轮,数百万美元,IDG资本-清科创投
10,2005-07-01,格尔软件,B轮,2亿人民币,未透露
11,2005-07-01,药明康德,A轮,200万美元,富达投资Fidelity-Investments-天地资本-大华创投管理
12,2005-07-01,智联招聘,C轮,770万美元,君联资本-智基创投IDT-VC
13,2005-07-01,V卡优惠,A轮,数百万美元,KPCB凯鹏华盈中国-德鼎创新基金(德丰杰龙脉)
14,2005-06-14,科大讯飞,D轮,1500万人民币,IPV-Capital/盈富泰克
15,2005-06-01,兆易创新,种子轮,5万美元,邓锋
16,2005-06-01,趣点视频,A轮,50万美元,软银中国
17,2005-06-01,晶方科技,A轮,数千万美元,元禾控股-英飞尼迪Infinity
18,2005-06-01,PPTV聚力传媒,天使轮,50万美元,软银中国
19,2005-05-11,聚众传媒,战略投资,未透露,晨兴资本
20,2005-05-08,威门药业,A轮,800万人民币,贵州科技风投
21,2005-04-30,欢聚时代,天使轮,100万美元,雷军-顺为创业
22,2005-04-19,青牛软件,A轮,3150万美元,赛富基金-华登国际投资-中科招商
23,2005-04-13,优格生物,B轮,未透露,未透露
24,2005-04-01,亿美软通,B轮,1000万美元,IDG资本
25,2005-03-22,铭万网,A轮,数百万美元,启明创投-赛富基金
26,2005-03-03,中搜网络,A轮,4000万美元,IDG资本-斯道资本(富达亚洲)-联想集团
27,2005-03-01,摇篮网,Pre-B轮,未透露,Sutter-Hill-Ventures
28,2005-01-25,诚邦园林,B轮,未透露,未透露
29,2005-01-12,图吧,A轮,数百万美元,美国中经合集团
30,2005-01-08,美年大健康,天使轮,未透露,凯辉基金-平安资产
31,2005-01-01,软通科技,A轮,未透露,英特尔投资Intel-Capital
32,2005-01-01,上海移通网络,A轮,数百万美元,未透露
33,2005-01-01,爱康国宾,A轮,数百万美元,美国中经合集团
34,2005-01-01,3G门户,A轮,200万美元,IDG资本
35,2005-01-01,5173游戏网,B轮,数千万美元,IDG资本-KTB投资集团-华登国际投资
36,2005-01-01,大麦网,A轮,3000万人民币,君联资本
37,2004-12-20,哈药集团,战略投资,2亿美元,中信资本-Warburg-Pincus(海外投资)
38,2004-12-11,珍爱网,A轮,450万美元,TPG-Growth新桥资本
39,2004-12-01,CDP薪得付,A轮,未透露,华禾投资
40,2004-12-01,艺龙旅行,IPO上市后,未透露,Expedia
41,2004-12-01,阿里巴巴集团,C轮,8200万美元,KPCB凯鹏华盈中国-GGV纪源资本-软银中国-斯道资本(富达亚洲)
42,2004-11-25,海润影视,A轮,数千万人民币,联创永宣
43,2004-11-12,久游网,A轮,1400万美元,凯雷亚洲基金-招商和腾创投
44,2004-11-07,爬行天下,天使轮,未透露,未透露
45,2004-10-28,艺龙旅行,IPO上市,未透露,未透露
46,2004-10-15,金融界,IPO上市,数千万美元,未透露
47,2004-10-10,慈铭体检,A轮,数千万人民币,鼎晖投资
48,2004-10-01,上海天游软件T2CN,天使轮,数百万人民币,联创永宣
49,2004-09-18,兆日科技,B轮,1000万美元,GGV纪源资本-英特尔投资Intel-Capital-华登国际投资-集富亚洲JAFCO
50,2004-09-01,久联发展,IPO上市,未透露,未透露
51,2004-08-09,达安基因,IPO上市,1.61亿人民币,未透露
52,2004-07-15,合富辉煌,IPO上市后,9100万美元,搜房网
53,2004-07-14,爱乐奇,A轮,1000万美元,未透露
54,2004-07-10,西安联合信息,A轮,数千万人民币,深创投
55,2004-07-01,A8音乐集团,A+轮,96万美元,IDG资本
56,2004-07-01,上海捷银支付,B轮,6500万港元,未透露
57,2004-06-16,Tencent 腾讯,IPO上市,数千万港元,未透露
58,2004-06-01,百度,B轮,1亿美元,IDG资本-KPCB凯鹏华盈中国-Google谷歌
59,2004-05-11,和而泰,D轮,673万人民币,达晨创投
60,2004-05-01,亿美软通,A轮,100万美元,IDG资本
61,2004-04-01,联众世界Ourgame,收购,1亿美元,未透露
62,2004-04-01,成都财智软件,收购,未透露,用友幸福投资
63,2004-03-10,优格生物,A轮,未透露,未透露
64,2004-03-03,携程,战略投资,数千万美元,今日资本
65,2004-03-01,100TV,A轮,500万美元,智基创投IDT-VC
66,2004-03-01,5173游戏网,A轮,300万美元,IDG资本
67,2004-02-02,新中大,A轮,数千万人民币,深创投
68,2004-02-01,当当网,B轮,1100万美元,Tiger老虎基金(中国)
69,2004-01-01,迈瑞生物,A+轮,未透露,深圳高特佳
70,2004-01-01,智联招聘,B轮,数百万美元,未透露
71,2003-12-14,金证股份,IPO上市,未透露,未透露
72,2003-12-10,携程,IPO上市,未透露,未透露
73,2003-12-01,兆日科技,A轮,300万美元,集富亚洲JAFCO
74,2003-10-20,天波信息,A轮,600万人民币,粤科金融
75,2003-09-02,匡通电子,A轮,数百万人民币,深创投
76,2003-09-01,携程,C轮,1000万美元,Tiger老虎基金(中国)
77,2003-09-01,达内科技,A轮,数百万美元,IDG资本
78,2003-09-01,100TV,天使轮,数十万美元,未透露
79,2003-08-01,艺龙旅行,A轮,1500万美元,Tiger老虎基金(中国)-蓝山中国资本
80,2003-07-18,尔湾科技,A轮,未透露,深创投
81,2003-07-01,POCO网,A轮,600万美元,IDG资本
82,2003-06-27,联华超市,IPO上市,数亿港元,未透露
83,2003-06-03,长电科技,IPO上市,3.95亿人民币,未透露
84,2003-06-01,迅雷网络,A轮,数百万美元,IDG资本
85,2003-04-01,联合电路板,A轮,未透露,未透露
86,2003-04-01,分众传媒,A轮,4000万美元,软银中国
87,2003-03-20,南京微创,A轮,405万人民币,中科招商
88,2003-03-01,盛大游戏,A轮,4000万美元,赛富基金
89,2003-01-15,和而泰,C轮,300万人民币,创东方投资-力合科创（力合创投）
90,2003-01-09,佳和电气,A轮,未透露,未透露
91,2003-01-01,分众传媒,天使轮,未透露,晨兴资本
92,2003-01-01,上海捷银支付,A轮,310万美元,未透露
93,2003-01-01,万国数据,A轮,1800万美元,汉鼎亚太
94,2003-01-01,SiteView游龙科技,A轮,数百万美元,IDG资本
95,2002-12-26,CNZZ数据,A轮,数百万美元,IDG资本
96,2002-12-17,百林通信,A轮,246万人民币,中泽嘉盟
97,2002-11-13,投融长富,IPO上市,未透露,未透露
98,2002-11-12,上影数码,战略投资,未透露,深创投-SMG上海文广
99,2002-10-01,绿盟科技,A轮,298万美元,君联资本
100,2002-09-25,亚宝药业,IPO上市,1.92亿人民币,未透露
101,2002-08-20,诚邦园林,A轮,未透露,未透露
102,2002-07-31,远望软件,A轮,数千万人民币,深创投
103,2002-05-17,新濠环彩,IPO上市,数千万港元,未透露
104,2002-04-22,西山科技,天使轮,数百万人民币,重庆高新技术开发区创新服务中心
105,2002-03-29,雷天动力,A轮,数千万人民币,深创投-深圳高新投
106,2002-03-01,蓝光科技,B轮,700万人民币,邦明资本-银江投资集团
107,2002-02-10,福晶科技,A轮,1500万人民币,深创投
108,2002-01-20,21vianet,A轮,2000万人民币,IDG资本
109,2002-01-09,泰德激光,A轮,数千万人民币,深创投
110,2002-01-01,A8音乐集团,A轮,未透露,松禾资本
111,2001-12-31,科大讯飞,C轮,430万人民币,英特尔投资Intel-Capital
112,2001-12-12,金海富源,A轮,未透露,深创投
113,2001-11-23,优格生物,天使轮,未透露,未透露
114,2001-10-01,前程无忧,A轮,300万美元,DCM中国
115,2001-09-01,键桥通讯,A轮,2000万人民币,深创投-松禾资本-达晨创投-国成投资-深圳高新投
116,2001-08-20,江淮汽车,IPO上市,8.71亿人民币,未透露
117,2001-08-08,巨龙科教,B轮,未透露,深创投-中国高新投资
118,2001-08-01,狮头水泥,IPO上市,6.14亿人民币,未透露
119,2001-08-01,神雾科技,A轮,600万人民币,深创投
120,2001-06-26,中环装备,A轮,未透露,长安私人资本
121,2001-06-08,科大讯飞,B轮,3200万人民币,君联资本-火炬高新投
122,2001-06-02,Tencent 腾讯,B轮,1968万美元,未透露
123,2001-05-02,赛格导航,A轮,未透露,深创投
124,2001-04-09,数码视讯,A轮,108万人民币,启迪创投
125,2001-04-01,中材科技,A轮,500万人民币,深创投
126,2001-03-01,微芯生物,A轮,600万美元,祥峰投资-北京科技风投-泰达科投
127,2001-03-01,光环新网,A轮,数千万人民币,未透露
128,2001-02-07,同洲电子,A轮,2000万人民币,深创投-松禾资本-达晨创投-深圳高新投
129,2001-01-01,赔伴,天使轮,未透露,未透露
130,2000-12-29,奥维迅,A轮,数千万人民币,深创投-源政投资-深圳高新投-清控银杏创投
131,2000-12-05,OmniVision豪威科技,IPO上市,数千万美元,未透露
132,2000-12-01,海澜之家,IPO上市,4.49亿人民币,未透露
133,2000-12-01,阿里巴巴集团,B轮,2000万美元,KPCB凯鹏华盈中国-软银中国-斯道资本(富达亚洲)-JAIC日本亚洲投资-银瑞达Investor-AB
134,2000-11-30,科大讯飞,A轮,1700万人民币,复星创富
135,2000-11-01,携程,B轮,1127万美元,软银中国-兰馨亚洲-凯雷亚洲基金
136,2000-10-19,巨龙科教,A轮,未透露,深创投-中国高新投资
137,2000-10-09,西甫新材料,A轮,数千万人民币,深创投
138,2000-09-28,远光软件,A轮,数千万人民币,IDG资本
139,2000-08-11,第九城市,战略投资,未透露,晨兴资本
140,2000-08-01,安琪酵母,IPO上市,4.16亿人民币,未透露
141,2000-07-13,中华网,IPO上市,数千万美元,未透露
142,2000-07-01,好孩子,A轮,1000万美元,软银中国
143,2000-06-10,中弘集团,IPO上市,未透露,未透露
144,2000-06-01,网易,IPO上市,数亿人民币,未透露
145,2000-06-01,百度,A轮,1000万美元,IDG资本-德鼎创新基金(德丰杰龙脉)-Peninsula-Ventures
146,2000-05-28,环球资源,IPO上市,数千万美元,未透露
147,2000-05-01,成都财智软件,A轮,未透露,用友幸福投资
148,2000-04-01,蓝光科技,A轮,1000万人民币,张江火炬创投-鼎嘉创投-浦东创投
149,2000-04-01,Tencent 腾讯,A轮,220万美元,IDG资本
150,2000-04-01,中文在线,天使轮,100万人民币,创业工场VenturesLab
151,2000-03-31,摇篮网,A轮,数百万美元,兰馨亚洲
152,2000-03-07,房天下,B轮,500万美元,高盛集团(中国)
153,2000-03-01,格尔软件,A轮,500万美元,Goldman-Sachs高盛(国外)
154,2000-03-01,中华网,IPO上市,数千万人民币,未透露
155,2000-03-01,携程,A轮,450万美元,IDG资本-晨兴资本-软银中国-兰馨亚洲
156,2000-03-01,中国人才热线,A轮,数百万美元,IDG资本
157,2000-02-01,当当网,A轮,600万美元,IDG资本-软银中国
158,2000-02-01,百度,天使轮,120万美元,未透露
159,2000-01-01,微芯生物,天使轮,500万人民币,海达投资
160,2000-01-01,智联招聘,A轮,300万美元,兰馨亚洲
161,1999-12-12,网易,A轮,数百万美元,SoftBank-capital软银海外
162,1999-12-01,摇篮网,天使轮,300万美元,兰馨亚洲
163,1999-12-01,阿里巴巴集团,A轮,500万美元,银瑞达Investor-AB-高盛集团(中国)
164,1999-11-03,金蝶软件,B轮,241万美元,IDG资本
165,1999-10-01,携程,天使轮,50万美元,IDG资本
166,1999-06-07,房天下,A轮,数百万美元,IDG资本
167,1999-02-02,网易,天使轮,500万美元,今日资本
168,1999-01-09,经天通信,A轮,180万美元,IDG资本-深创投-松禾资本
169,1998-06-30,神雾节能,IPO上市,未透露,未透露
170,1998-05-01,金蝶软件,A轮,240万美元,IDG资本
171,1998-04-03,西藏合邦电源,天使轮,数百万人民币,深创投
172,1998-03-16,当代明诚,IPO上市,未透露,未透露
173,1998-03-11,杭钢股份,IPO上市,未透露,未透露
174,1997-05-26,正有网络,战略投资,未透露,深创投
175,1997-05-19,万东医疗,IPO上市,1.28亿人民币,未透露
176,1997-02-01,宜宾纸业,IPO上市,未透露,未透露
177,1996-11-13,新产业生物,A轮,800万人民币,新产业创投
178,1996-10-15,西藏旅游,IPO上市,未透露,未透露
179,1995-12-20,汇源通信,IPO上市,4940万人民币,未透露
